Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     2492     0.00     0.00  vec<3u, int>* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, vec<3u, int>*>(__gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, __gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, vec<3u, int>*)
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::vector(std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&)
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::vector()
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >, std::allocator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > > >::push_back(std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&)
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00     2492     0.00     0.00  vec<3u, int>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, vec<3u, int>*>(__gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, __gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, vec<3u, int>*)
  0.00      0.00     0.00     2492     0.00     0.00  vec<3u, int>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, vec<3u, int>*, vec<3u, int> >(__gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, __gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >, vec<3u, int>*, std::allocator<vec<3u, int> >&)
  0.00      0.00     0.00     2059     0.00     0.00  bool std::operator==<vec<3u, float>*>(std::move_iterator<vec<3u, float>*> const&, std::move_iterator<vec<3u, float>*> const&)
  0.00      0.00     0.00     2059     0.00     0.00  bool std::operator!=<vec<3u, float>*>(std::move_iterator<vec<3u, float>*> const&, std::move_iterator<vec<3u, float>*> const&)
